2022-03-25 12:42:25.819|[main]|INFO |com.torch.app.AppApplication-Starting AppApplication using Java 1.8.0_202 on LAPTOP-B8LA37VK with PID 16308 (D:\Desktop\薪火技术部\微信小程序\torch\薪火小程序后端\server\torch_server\app_server\target\classes started by 79014 in D:\Desktop\薪火技术部\微信小程序\torch\薪火小程序后端\server)
2022-03-25 12:42:25.836|[main]|INFO |com.torch.app.AppApplication-No active profile set, falling back to default profiles: default
2022-03-25 12:42:30.444|[main]|INFO |c.t.app.config.RedissonConfig-布隆过滤器初始化成功
2022-03-25 12:42:32.240|[main]|INFO |com.torch.app.AppApplication-Started AppApplication in 7.144 seconds (JVM running for 8.669)
2022-03-25 12:49:35.658|[http-nio-0.0.0.0-8002-exec-1]|INFO |c.t.a.c.UserController-用户登录成功：4
2022-03-25 12:49:35.790|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:35.789
2022-03-25 12:49:35.790|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:49:35.790|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:35.791|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getActivities
2022-03-25 12:49:35.792|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, 4]
2022-03-25 12:49:36.042|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:36.042
2022-03-25 12:49:36.042|[http-nio-0.0.0.0-8002-exec-2]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：253
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:38.399
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:38.399
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:38.399|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:38.400|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 12:49:38.400|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getUser
2022-03-25 12:49:38.400|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, org.apache.catalina.connector.RequestFacade@372cb146]
2022-03-25 12:49:38.400|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[org.apache.catalina.connector.RequestFacade@3828859a]
2022-03-25 12:49:38.468|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.c.UserController-从缓存中拿到用户信息
2022-03-25 12:49:38.468|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:38.468
2022-03-25 12:49:38.468|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：69
2022-03-25 12:49:38.626|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:38.626
2022-03-25 12:49:38.626|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 12:49:38.626|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 12:49:38.626|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getVolInfoOver
2022-03-25 12:49:38.626|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[1, org.apache.catalina.connector.RequestFacade@3828859a]
2022-03-25 12:49:38.838|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 12:49:39.921|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 12:49:40.032|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:40.032
2022-03-25 12:49:40.032|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：1406
2022-03-25 12:49:40.213|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 12:49:40.588|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 12:49:41.540|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.s.impl.SignUpServiceImpl-从缓存拿到父活动信息
2022-03-25 12:49:41.616|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 12:49:41.616
2022-03-25 12:49:41.616|[http-nio-0.0.0.0-8002-exec-6]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：2990
2022-03-25 12:49:44.668|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 12:49:44.668
2022-03-25 12:49:44.668|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
